schedule_date,schedule_season,schedule_week,team_home,team_away,stadium,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,game_id,,,,,
09/25/1966,1966,3,PIT,WAS,Pitt Stadium,,,,53 degrees-  humidity 80%- wind 10 mph,53,10,80,27,33,FALSE,FALSE,19660925WASPIT,,,,,
09/30/1966,1966,4,LAR,SF,Los Angeles Memorial Coliseum,,,,70 degrees-  humidity 76%- wind 9 mph,70,9,76,34,3,FALSE,FALSE,19660930SFLAR,,,,,
10/02/1966,1966,4,ATL,DAL,Atlanta-Fulton County Stadium,,,,53 degrees-  humidity 63%- wind 12 mph,53,12,63,14,47,FALSE,FALSE,19661002DALATL,,,,,
10/02/1966,1966,5,DEN,TEN,Mile High Stadium,,,,,,,,40,38,FALSE,FALSE,19661002TENDEN,,,,,
10/02/1966,1966,4,GB,DET,Lambeau Field,,,,49 degrees-  humidity 63%- wind 10 mph,49,10,63,23,14,FALSE,FALSE,19661002DETGB,,,,,
10/02/1966,1966,5,KC,BUF,Kansas City Municipal Stadium,,,,,,,,14,29,FALSE,FALSE,19661002BUFKC,,,,,
10/02/1966,1966,4,MIN,CHI,Metropolitan Stadium,,,,50 degrees-  humidity 62%- wind 12 mph,50,12,62,10,13,FALSE,FALSE,19661002CHIMIN,,,,,
10/02/1966,1966,5,NE,NYJ,Alumni Stadium,,,,,,,,24,24,FALSE,FALSE,19661002NYJNE,,,,,
10/02/1966,1966,4,NYG,CLE,Yankee Stadium,,,,52 degrees-  humidity 70%- wind 13 mph,52,13,70,7,28,FALSE,FALSE,19661002CLENYG,,,,,
10/02/1966,1966,4,PHI,ARI,Franklin Field,,,,50 degrees-  humidity 74%- wind 10 mph,50,10,74,10,41,FALSE,FALSE,19661002ARIPHI,,,,,
10/02/1966,1966,5,LAC,MIA,Balboa Stadium,,,,,,,,44,10,FALSE,FALSE,19661002MIALAC,,,,,
10/02/1966,1966,4,WAS,PIT,RFK Memorial Stadium,,,,48 degrees-  humidity 74%- wind 5 mph,48,5,74,24,10,FALSE,FALSE,19661002PITWAS,,,,,
10/08/1966,1966,6,BUF,NE,War Memorial Stadium,,,,,,,,10,20,FALSE,FALSE,19661008NEBUF,,,,,
10/08/1966,1966,5,CLE,PIT,Cleveland Municipal Stadium,,,,58 degrees-  humidity 46%- wind 12 mph,58,12,46,41,10,FALSE,FALSE,19661008PITCLE,,,,,
10/08/1966,1966,6,KC,DEN,Kansas City Municipal Stadium,,,,,,,,37,10,FALSE,FALSE,19661008DENKC,,,,,
10/08/1966,1966,6,NYJ,LAC,Shea Stadium,,,,,,,,17,16,FALSE,FALSE,19661008LACNYJ,,,,,
10/09/1966,1966,5,CHI,IND,Wrigley Field,,,,67 degrees-  humidity 54%- wind 12 mph,67,12,54,27,17,FALSE,FALSE,19661009INDCHI,,,,,
10/09/1966,1966,5,DAL,PHI,Cotton Bowl,,,,74 degrees-  humidity 59%- wind 8 mph,74,8,59,56,7,FALSE,FALSE,19661009PHIDAL,,,,,
10/09/1966,1966,5,DET,LAR,Tiger Stadium,,,,62 degrees-  humidity 63%- wind 12 mph,62,12,63,7,14,FALSE,FALSE,19661009LARDET,,,,,
10/09/1966,1966,6,OAK,MIA,Oakland Coliseum,,,,,,,,21,10,FALSE,FALSE,19661009MIAOAK,,,,,
10/09/1966,1966,5,SF,GB,Kezar Stadium,,,,64 degrees-  humidity 62%- wind 10 mph,64,10,62,21,20,FALSE,FALSE,19661009GBSF,,,,,
10/09/1966,1966,5,ARI,NYG,Busch Memorial Stadium,,,,64 degrees-  humidity 84%- wind 10 mph,64,10,84,24,19,FALSE,FALSE,19661009NYGARI,,,,,
10/09/1966,1966,5,WAS,ATL,RFK Memorial Stadium,,,,59 degrees-  humidity 77%- wind 4 mph,59,4,77,33,20,FALSE,FALSE,19661009ATLWAS,,,,,
10/16/1966,1966,6,ATL,SF,Atlanta-Fulton County Stadium,,,,66 degrees-  humidity 76%- wind 9 mph,66,9,76,7,44,FALSE,FALSE,19661016SFATL,,,,,
10/16/1966,1966,6,IND,DET,Memorial Stadium (Baltimore),,,,64 degrees-  humidity 73%- wind 12 mph,64,12,73,45,14,FALSE,FALSE,19661016DETIND,,,,,
10/16/1966,1966,7,BUF,LAC,War Memorial Stadium,,,,,,,,17,17,FALSE,FALSE,19661016LACBUF,,,,,
