Note: individual training accuracies are incorrect, but
the averages are fine.
year,test: train acc, test acc
1989 test 34: 0.6274662301112176, 0.6433041
1989 test 35: 0.62529464290292, 0.6420526
1989 test 36: 0.6273523144125566, 0.6332916
1989 test 37: 0.625391380327552, 0.63704634
1989 test 38: 0.6288230724781938, 0.64705884
1989 test 39: 0.6311444670232351, 0.6433041
1989 test 40: 0.6249057841166686, 0.64705884
1989 test 41: 0.62344205425178, 0.64705884
1989 test 42: 0.621950066973629, 0.64956194
1989 test 43: 0.6277861814661527, 0.63579476
1989 test 44: 0.6277906841811758, 0.64580727
1989 test 45: 0.6297937321461485, 0.6445557
1989 test 46: 0.6218777213604638, 0.63954943
1989 test 47: 0.640642500597895, 0.6332916
1989 test 48: 0.6307162843943015, 0.6433041
1989 test 49: 0.6615180739216758, 0.620776
1989 averages 49: 0.6788603615760803, 0.6424530696868896
1991 test 0: 0.6339235670016018, 0.63704634
1991 test 1: 0.6249956920444593, 0.64956194
1991 test 2: 0.62369377859804, 0.6520651
1991 test 3: 0.6289806153825734, 0.640801
1991 test 4: 0.6429040223518585, 0.6345432
1991 test 5: 0.6242806389601493, 0.65832293
1991 test 6: 0.6302111637364789, 0.6420526
1991 test 7: 0.6345607115979188, 0.63704634
1991 test 8: 0.6272004149266716, 0.6558198
1991 test 9: 0.6220426246411959, 0.6508135
1991 test 10: 0.6222564143237095, 0.640801
1991 test 11: 0.626364578587354, 0.6520651
1991 test 12: 0.6301158180271504, 0.6345432
1991 test 13: 0.6232112402490367, 0.64705884
1991 test 14: 0.6259908551380542, 0.6558198
1991 test 15: 0.6227567628613476, 0.64956194
1991 test 16: 0.6292280615896024, 0.6533166
1991 test 17: 0.6331492457329033, 0.640801
1991 test 18: 0.6265353946031558, 0.64831036
1991 test 19: 0.6350362710561487, 0.6445557
1991 test 20: 0.6243207771354384, 0.660826
1991 test 21: 0.6324613153426273, 0.6332916
1991 test 22: 0.6306602614319817, 0.6307885
1991 test 23: 0.6287950058520139, 0.6520651
1991 test 24: 0.629339693480163, 0.6445557
1991 test 25: 0.6274389814356988, 0.64705884
1991 test 26: 0.62274141785909, 0.6520651
1991 test 27: 0.6242864040403775, 0.64956194
1991 test 28: 0.6286610163531461, 0.63579476
1991 test 29: 0.6328133496132974, 0.63579476
1991 test 30: 0.6433971255005936, 0.63829786
1991 test 31: 0.6287986857697685, 0.64956194
1991 test 32: 0.634035454846182, 0.63579476
1991 test 33: 0.6305422807515637, 0.6445557
1991 test 34: 0.6305745722532496, 0.6433041
1991 test 35: 0.6281724723711032, 0.6545682
1991 test 36: 0.6219481673273485, 0.6508135
1991 test 37: 0.6301271524536743, 0.6445557
1991 test 38: 0.6263604350761045, 0.6420526
1991 test 39: 0.6343833940786697, 0.6520651
1991 test 40: 0.6283006462990044, 0.63829786
1991 test 41: 0.620259363460675, 0.6545682
1991 test 42: 0.6289129218830259, 0.6433041
